TransactionID,Category,TransactionAmount,Timestamp,MerchantID,CustomerID,AccountBalance
1,Other,79.41360746,1/1/2022 0:00,2701,1952,2869.689912
895,Food,90.42202597,2/7/2022 6:00,2149,1952,2869.689912
2,Online,12.05308715,1/1/2022 1:00,2070,1027,9527.947107
3,Travel,33.31035719,1/1/2022 2:00,2238,1955,9288.355525
544,Retail,20.29534792,1/23/2022 15:00,2643,1955,9288.355525
4,Travel,46.12111729,1/1/2022 3:00,2879,1796,5588.049942
109,Food,66.5143718,1/5/2022 12:00,2508,1796,5588.049942
594,Other,10.1432748,1/25/2022 17:00,2176,1796,5588.049942
985,Online,99.52235673,2/11/2022 0:00,2010,1796,5588.049942
5,Other,54.05161801,1/1/2022 4:00,2966,1946,7324.785332
6,Food,34.54513807,1/1/2022 5:00,2757,1204,3152.247787
550,Food,31.61403546,1/23/2022 21:00,2329,1204,3152.247787
7,Food,55.38311282,1/1/2022 6:00,2096,1311,9253.478917
151,Retail,91.20674787,1/7/2022 6:00,2920,1311,9253.478917
335,Online,94.06588629,1/14/2022 22:00,2919,1311,9253.478917
376,Food,13.2876421,1/16/2022 15:00,2645,1311,9253.478917
834,Online,97.85743756,2/4/2022 17:00,2154,1311,9253.478917
8,Travel,17.85587786,1/1/2022 7:00,2493,1693,8765.035861
9,Retail,75.6599445,1/1/2022 8:00,2612,1347,8935.007146
10,Other,67.93187884,1/1/2022 9:00,2638,1574,5541.197921
140,Travel,44.40597074,1/6/2022 19:00,2180,1574,5541.197921
11,Other,23.89562271,1/1/2022 10:00,2007,1424,4344.549864
364,Travel,78.34675384,1/16/2022 3:00,2929,1424,4344.549864
675,Other,76.00299891,1/29/2022 2:00,2511,1424,4344.549864
701,Online,61.3052632,1/30/2022 4:00,2489,1424,4344.549864
756,Retail,17.04814954,2/1/2022 11:00,2012,1424,4344.549864
900,Retail,56.47276107,2/7/2022 11:00,2094,1424,4344.549864
12,Food,17.79722202,1/1/2022 11:00,2746,1302,2670.113015
13,Other,64.78165788,1/1/2022 12:00,2092,1321,2685.942365
15,Other,35.45084414,1/1/2022 14:00,2849,1321,2685.942365
14,Travel,43.69145948,1/1/2022 13:00,2892,1700,6735.159471
16,Other,47.62737483,1/1/2022 15:00,2640,1463,1847.326392
17,Other,83.80043413,1/1/2022 16:00,2858,1962,7989.117483
18,Travel,67.01973545,1/1/2022 17:00,2479,1854,9960.172528
823,Other,47.24146112,2/4/2022 6:00,2013,1854,9960.172528
19,Food,79.67952921,1/1/2022 18:00,2470,1651,8326.149989
838,Retail,54.44925323,2/4/2022 21:00,2982,1651,8326.149989
20,Travel,23.12632325,1/1/2022 19:00,2933,1715,9103.487494
21,Travel,60.70535435,1/1/2022 20:00,2835,1724,8830.491513
338,Travel,21.95881977,1/15/2022 1:00,2346,1724,8830.491513
22,Online,53.84670687,1/1/2022 21:00,2220,1117,7288.036638
30,Retail,83.88421813,1/2/2022 5:00,2932,1117,7288.036638
150,Other,35.76256758,1/7/2022 5:00,2684,1117,7288.036638
180,Food,73.50579665,1/8/2022 11:00,2229,1117,7288.036638
23,Travel,15.57953819,1/1/2022 22:00,2465,1613,8486.464783
513,Food,64.97010132,1/22/2022 8:00,2867,1613,8486.464783
24,Retail,13.38677784,1/1/2022 23:00,2480,1643,7833.796203
25,Travel,98.4640558,1/2/2022 0:00,2305,1788,4384.800512
215,Online,87.13835925,1/9/2022 22:00,2225,1788,4384.800512
356,Online,32.22567447,1/15/2022 19:00,2862,1788,4384.800512
