TransactionID,Category,TransactionAmount,Timestamp,MerchantID,CustomerID,AccountBalance
6845,Other,30.32082129,10/13/2022 4:00,23964,19195,6585.714204
9124,Food,95.46812632,1/16/2023 3:00,20305,19195,6585.714204
51,Travel,59.74948994,1/3/2022 2:00,26874,11990,5038.534987
52,Other,98.23270397,1/3/2022 3:00,23764,13473,3371.786573
9308,Online,46.71148435,1/23/2023 19:00,26777,13473,3371.786573
53,Food,66.71388505,1/3/2022 4:00,26618,19760,6565.299842
2643,Food,10.23766386,4/21/2022 2:00,21653,19760,6565.299842
54,Online,95.59828773,1/3/2022 5:00,26447,18218,5098.488951
9053,Other,69.55925324,1/13/2023 4:00,29258,18218,5098.488951
55,Online,36.78504038,1/3/2022 6:00,21671,18296,3944.669704
712,Retail,92.58312585,1/30/2022 15:00,20411,18296,3944.669704
56,Online,64.91068653,1/3/2022 7:00,27438,15325,6271.953902
57,Food,80.15124515,1/3/2022 8:00,20824,18033,7745.706793
58,Food,84.11220326,1/3/2022 9:00,28347,14817,8280.875627
59,Online,85.77950824,1/3/2022 10:00,28557,11747,6688.547064
1524,Travel,84.2629279,3/5/2022 11:00,26253,11747,6688.547064
60,Online,88.36190037,1/3/2022 11:00,29156,19029,8866.8385
61,Travel,18.4186598,1/3/2022 12:00,21945,13030,2951.163163
7938,Food,70.06451063,11/27/2022 17:00,20742,13030,2951.163163
62,Food,57.24331312,1/3/2022 13:00,22085,12426,7495.938288
803,Food,50.64400527,2/3/2022 10:00,23707,12426,7495.938288
1912,Online,93.32221918,3/21/2022 15:00,22125,12426,7495.938288
4884,Travel,56.96881836,7/23/2022 11:00,26737,12426,7495.938288
7278,Retail,69.56741308,10/31/2022 5:00,24837,12426,7495.938288
63,Retail,69.71379521,1/3/2022 14:00,25821,10829,8381.250203
64,Online,14.52914293,1/3/2022 15:00,28386,19497,9980.54299
65,Travel,80.4225676,1/3/2022 16:00,20448,16909,7999.890307
66,Retail,17.273659,1/3/2022 17:00,29084,11616,3504.88842
368,Other,73.16432816,1/16/2022 7:00,24248,11616,3504.88842
67,Travel,36.25654885,1/3/2022 18:00,28353,11838,9446.832719
68,Travel,77.21944245,1/3/2022 19:00,25734,11628,3569.799741
69,Travel,49.94855477,1/3/2022 20:00,20254,16033,5173.450262
226,Food,48.37694967,1/10/2022 9:00,26588,16033,5173.450262
9729,Travel,33.47003074,2/10/2023 8:00,29989,16033,5173.450262
70,Online,20.70450087,1/3/2022 21:00,27586,15397,6609.436867
71,Other,50.1230865,1/3/2022 22:00,20049,15799,4441.316058
72,Other,73.08127386,1/3/2022 23:00,22674,14400,9104.634881
73,Other,64.33649129,1/4/2022 0:00,25289,10956,2823.150751
4860,Food,75.89858428,7/22/2022 11:00,24977,10956,2823.150751
74,Food,69.43404848,1/4/2022 1:00,25877,19454,9280.959885
1233,Food,57.79133112,2/21/2022 8:00,25096,19454,9280.959885
75,Food,87.32012539,1/4/2022 2:00,21422,12879,6972.677747
76,Retail,50.69661229,1/4/2022 3:00,20540,16000,7447.257622
1643,Food,63.52999317,3/10/2022 10:00,27305,16000,7447.257622
77,Food,98.9174732,1/4/2022 4:00,27047,17968,2039.506968
1762,Online,27.53162274,3/15/2022 9:00,29988,17968,2039.506968
78,Retail,69.30392883,1/4/2022 5:00,27260,18817,3007.541771
8952,Online,94.7471296,1/8/2023 23:00,29649,18817,3007.541771
79,Food,99.84393519,1/4/2022 6:00,25505,12715,6976.709601
3222,Other,35.32498246,5/15/2022 5:00,20283,12715,6976.709601
